Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0107631885751334,-0.196706606649359,0.125751388465178,0,0,0,0.0292481653022373,3.88747734808681E-05,-3.06596509862462E-09,-5.98006564893274E-08,1.98637946417113E-05,-7.64627510959565E-10,1.93056895699406E-05,0,0,0,0,0,0,package://segf_ver5/meshes/base_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://segf_ver5/meshes/base_link.STL,,suspension-1/backboard_3d_ver2-1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
sus1,0.0245281392565478,-0.00579743460623024,-0.00799999809102761,0,0,0,0.00484464615393237,3.44953495510738E-07,5.10613042897034E-08,1.27802152202565E-14,2.31225028349891E-06,2.19478513595474E-14,2.08649864683354E-06,0,0,0,0,0,0,package://segf_ver5/meshes/sus1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://segf_ver5/meshes/sus1.STL,,suspension-1/wheelholder_ver3_Tendon-2,Origin_sus1r,Axis8,sus1r,revolute,0.020949,-0.28148,0.067161,3.1416,-0.5236,1.5708,base_link,0,0,1,0,0,0,0,,,,,,,,
w1,5.22216991871716E-12,0.0109999999662131,1.83967285849462E-11,0,0,0,0.00802564595067572,2.63042675367951E-06,-7.55275654788365E-16,6.57318901711696E-16,9.68771865572928E-07,-1.40328657761713E-15,2.63042674934207E-06,0,0,0,0,0,0,package://segf_ver5/meshes/w1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://segf_ver5/meshes/w1.STL,,suspension-1/simplified-gear-2,Origin_w1c,Axis1,w1c,continuous,0,0,-0.019,1.5708,0,-1.0993,sus1,0,1,0,,,,,,,,,,,,
sus2,0.0245281388862843,-0.00579743458596982,-0.00799999408218524,0,0,0,0.00484464622012381,3.44953504540437E-07,5.10613036903035E-08,1.55592500677966E-13,2.31225031988856E-06,4.30376878639342E-14,2.0864986737292E-06,0,0,0,0,0,0,package://segf_ver5/meshes/sus2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://segf_ver5/meshes/sus2.STL,,suspension-1/wheelholder_ver3_Tendon-3,Origin_sus2r,Axis9,sus2r,revolute,0.020949,-0.10396,0.081018,0,-0.5236,-1.5708,base_link,0,0,1,0,0,0,0,,,,,,,,
w2,5.21314935664208E-12,0.0109999999660882,1.84374460143744E-11,0,0,0,0.00802564595064063,2.63042675366783E-06,-7.55284363345854E-16,6.57278191190669E-16,9.6877186556785E-07,-1.39968951985772E-15,2.63042674933547E-06,0,0,0,0,0,0,package://segf_ver5/meshes/w2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://segf_ver5/meshes/w2.STL,,suspension-1/simplified-gear-3,Origin_w2c,Axis2,w2c,continuous,0,0,-0.019,1.5708,0,-1.0993,sus2,0,1,0,,,,,,,,,,,,
sus3,0.0245281427339185,-0.00579743476204341,-0.00799999583699243,0,0,0,0.00484464531506038,3.44953306450567E-07,5.10613156648366E-08,7.85719483001869E-14,2.31224993634185E-06,3.48701370308909E-14,2.08649849059194E-06,0,0,0,0,0,0,package://segf_ver5/meshes/sus3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://segf_ver5/meshes/sus3.STL,,suspension-1/wheelholder_ver3_Tendon-1,Origin_sus3r,Axis10,sus3r,revolute,0.020949,-0.20472,0.22783,1.5708,1.5708,0,base_link,0,0,1,0,0,0,0,,,,,,,,
w3,5.21754861537715E-12,0.0109999999661513,1.84169901551456E-11,0,0,0,0.00802564595065764,2.63042675367367E-06,-7.552674074126E-16,6.57297037673746E-16,9.6877186557038E-07,-1.40145231975051E-15,2.63042674933879E-06,0,0,0,0,0,0,package://segf_ver5/meshes/w3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://segf_ver5/meshes/w3.STL,,suspension-1/simplified-gear-1,Origin_w3c,Axis7,w3c,continuous,0,0,-0.019,1.5708,0,-1.0993,sus3,0,1,0,,,,,,,,,,,,
con1,0.0150000000000001,-8.32667268468867E-17,-1.52655665885959E-16,0,0,0,0.00235619449019234,2.94524311274043E-08,4.86347831101101E-22,1.21907854063494E-21,1.91440802328128E-07,0,1.91440802328128E-07,0,0,0,0,0,0,package://segf_ver5/meshes/con1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://segf_ver5/meshes/con1.STL,,backboard_3d_connect-1,Origin_con1f,Axis_con1f,con1f,fixed,0.011619,-0.19672,0.12534,3.0572,0,0,base_link,0,0,0,,,,,,,,,,,,
con2,1.11022302462516E-16,0.0481300493614309,-1.38777878078145E-16,0,0,0,0.00279336263712055,3.47148573143988E-07,-3.21511274135959E-22,6.21799707082768E-24,3.99316347503688E-08,1.06387502614631E-21,3.49420107139763E-07,0,0,0,0,0,0,package://segf_ver5/meshes/con2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://segf_ver5/meshes/con2.STL,,backboard_3d_1-1-1,Origin_con2p,Axis3,con2p,prismatic,0,0,0,0,-1.4864,-1.5708,con1,0,-1,0,0,0,0,0,,,,,,,,
uni,-1.38777878078145E-17,1.92840424184659E-09,1.92840413082429E-09,0,0,0,0.000271492148155946,5.93557661395575E-09,4.47220671665863E-15,-4.4722067162952E-15,3.20070578284846E-09,1.00786068067321E-21,3.20070578284845E-09,0,0,0,0,0,0,package://segf_ver5/meshes/uni.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://segf_ver5/meshes/uni.STL,,universal_pin-1,Origin_unir,Axis4,unir,revolute,0,0.065,0,0,0,1.5708,con2,0,-1,0,0,0,-1.6,1.6,,,,,,,,
con3,0.0168699506385691,-7.49400541621981E-16,5.55111512312578E-16,0,0,0,0.00279336263712055,3.99316347503688E-08,-2.21483432703863E-21,9.94359727654743E-22,3.49420107139762E-07,2.21321679635667E-23,3.47148573143988E-07,0,0,0,0,0,0,package://segf_ver5/meshes/con3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://segf_ver5/meshes/con3.STL,,backboard_3d_2-1-1,Origin_unir,Axis5,con3r,revolute,0,0,0,0,0,0,uni,0,0,-1,0,0,-1.6,1.6,,,,,,,,
con4,-0.0180000000000001,6.66133814775094E-16,3.88578058618805E-16,0,0,0,0.00235619449019234,2.94524311274043E-08,-1.1574339151654E-21,-6.82310798372854E-22,1.91440802328128E-07,0,1.91440802328128E-07,0,0,0,0,0,0,package://segf_ver5/meshes/con4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://segf_ver5/meshes/con4.STL,,backboard_3d_connect-2,Origin_con4p,Axis6,con4p,prismatic,0.068,0,0,-0.9827,0,0,con3,-1,0,0,0,0,0,0,,,,,,,,
