Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.010763,0.12575,0.19671,0,0,0,0.029248,3.8875E-05,-5.9801E-08,3.066E-09,1.9306E-05,7.6463E-10,1.9864E-05,0,0,0,0,0,0,package://segment_follow_ver1/meshes/base_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://segment_follow_ver1/meshes/base_link.STL,,suspension-1/backboard_3d_ver2-1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
sus1,0.024528,-0.0057974,-0.008,0,0,0,0.0048446,3.4495E-07,5.1061E-08,1.278E-14,2.3123E-06,2.1948E-14,2.0865E-06,0,0,0,0,0,0,package://segment_follow_ver1/meshes/sus1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://segment_follow_ver1/meshes/sus1.STL,,suspension-1/wheelholder_ver3_Tendon-2,Origin_sus1r,Axis8,sus1r,revolute,0.020949,-0.28148,0.067161,3.1416,-0.5236,1.5708,base_link,0,0,0,0,0,0,0,,,,,,,,
w11,5.2222E-12,0.011,1.8397E-11,0,0,0,0.0080256,2.6304E-06,-7.5528E-16,6.5732E-16,9.6877E-07,-1.4033E-15,2.6304E-06,0,0,0,0,0,0,package://segment_follow_ver1/meshes/w11.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://segment_follow_ver1/meshes/w11.STL,,suspension-1/simplified-gear-2,Origin_w11r,Axis1,w11r,continuous,0,0,-0.019,1.5708,0,-1.0993,sus1,0,0,0,0,0,0,0,,,,,,,,
sus2,0.0245281388862843,-0.00579743458596982,-0.00799999408218524,0,0,0,0.00484464622012381,3.44953504540437E-07,5.10613036903035E-08,1.55592500691201E-13,2.31225031988856E-06,4.30376878738603E-14,2.0864986737292E-06,0,0,0,0,0,0,package://segment_follow_ver1/meshes/sus2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://segment_follow_ver1/meshes/sus2.STL,,suspension-1/wheelholder_ver3_Tendon-3,Origin_sus2r,Axis9,sus2r,revolute,0.020949,-0.10396,0.081018,0,-0.5236,-1.5708,base_link,0,0,0,0,0,0,0,,,,,,,,
w12,5.21314935664208E-12,0.0109999999660882,1.84374460143744E-11,0,0,0,0.00802564595064063,2.63042675366783E-06,-7.55284350110964E-16,6.57278297069787E-16,9.6877186556785E-07,-1.39968951985772E-15,2.63042674933547E-06,0,0,0,0,0,0,package://segment_follow_ver1/meshes/w12.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://segment_follow_ver1/meshes/w12.STL,,suspension-1/simplified-gear-3,Origin_w12r,Axis2,w12r,continuous,0,0,-0.019,1.5708,0,-1.0993,sus2,0,0,0,0,0,0,0,,,,,,,,
sus3,0.0245281427339185,-0.00579743476204341,-0.00799999583699243,0,0,0,0.00484464531506038,3.44953306450567E-07,5.10613156648366E-08,7.85719483339943E-14,2.31224993634185E-06,3.48701370251376E-14,2.08649849059194E-06,0,0,0,0,0,0,package://segment_follow_ver1/meshes/sus3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://segment_follow_ver1/meshes/sus3.STL,,suspension-1/wheelholder_ver3_Tendon-1,Origin_sus3r,Axis10,sus3r,revolute,0.020949,-0.20472,0.22783,1.5708,1.5708,0,base_link,0,0,0,0,0,0,0,,,,,,,,
w13,5.21754861537715E-12,0.0109999999661513,1.84169901551456E-11,0,0,0,0.00802564595065764,2.63042675367367E-06,-7.55267418789561E-16,6.57297037673746E-16,9.6877186557038E-07,-1.40145232605878E-15,2.63042674933879E-06,0,0,0,0,0,0,package://segment_follow_ver1/meshes/w13.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://segment_follow_ver1/meshes/w13.STL,,suspension-1/simplified-gear-1,Origin_w13r,Axis7,w13r,continuous,0,0,-0.019,1.5708,0,-1.0993,sus3,0,0,0,0,0,0,0,,,,,,,,
con1,0.0150000000000001,-8.32667268468867E-17,-1.52655665885959E-16,0,0,0,0.00235619449019234,2.94524311274043E-08,4.86347831101101E-22,1.21907854063494E-21,1.91440802328128E-07,0,1.91440802328128E-07,0,0,0,0,0,0,package://segment_follow_ver1/meshes/con1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://segment_follow_ver1/meshes/con1.STL,,backboard_3d_connect-1,Origin_con1f,Axis3,con1f,fixed,0.011619,-0.19672,0.12534,3.0572,0,0,base_link,0,0,0,,,,,,,,,,,,
con2,5.55111512312578E-17,0.0511300493614309,-2.22044604925031E-16,0,0,0,0.00279336263712055,3.47148573143988E-07,-3.21809896709862E-22,6.26210147309216E-24,3.99316347503688E-08,1.06332602650654E-21,3.49420107139763E-07,0,0,0,0,0,0,package://segment_follow_ver1/meshes/con2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://segment_follow_ver1/meshes/con2.STL,,backboard_3d_1-1-1,Origin_con2p,Axis3,con2p,prismatic,-0.003,0,0,0,-1.4864,-1.5708,con1,0,0,0,0,0,0,0,,,,,,,,
uni,0.0153755701673791,1.70822661571535E-10,1.70822744838262E-10,0,0,0,0.00306485478527649,4.58672113643246E-08,4.47220450271885E-15,-4.47220572149184E-15,3.52620812922611E-07,1.0300750037991E-21,3.50349278926836E-07,0,0,0,0,0,0,package://segment_follow_ver1/meshes/uni.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://segment_follow_ver1/meshes/uni.STL,,universal_pin-1;backboard_3d_2-1-1,Origin_uni1r,Axis4,uni1r,revolute,0,0.068,0,0,0,1.5708,con2,0,0,0,0,0,0,0,,,,,,,,
con3,2.77555756156289E-17,0.0511300493614309,1.66533453693773E-16,0,0,0,0.00279336263712054,3.49420107139762E-07,-3.62279923625551E-22,2.21203192017765E-23,3.99316347503688E-08,-9.91888009862822E-22,3.47148573143987E-07,0,0,0,0,0,0,package://segment_follow_ver1/meshes/con3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://segment_follow_ver1/meshes/con3.STL,,backboard_3d_2-1-1,Origin_uni1r,Axis5,con3p,revolute,0.068,0,0,0,0,1.5708,uni,0,0,0,0,0,0,0,,,,,,,,
con4,-0.0150000000000001,-1.11022302462516E-16,2.77555756156289E-17,0,0,0,0.00235619449019234,2.94524311274043E-08,-1.1574339151654E-21,-6.82310798372854E-22,1.91440802328128E-07,0,1.91440802328128E-07,0,0,0,0,0,0,package://segment_follow_ver1/meshes/con4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://segment_follow_ver1/meshes/con4.STL,,backboard_3d_connect-2,Origin_con4p,Axis6,con4p,prismatic,0,0.003,0,-0.9827,0,-1.5708,con3,-1,0,0,0,0,0,0,,,,,,,,
